setID,number,numberVariant,name,year,theme,themeGroup,subtheme,category,released,image/thumbnailURL,image/imageURL,bricksetURL,collections/ownedBy,collections/wantedBy,LEGOCom/US/retailPrice,LEGOCom/US/dateFirstAvailable,LEGOCom/CA/retailPrice,LEGOCom/CA/dateFirstAvailable,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,lastUpdated,pieces,ageRange/min,dimensions/height,dimensions/width,dimensions/depth,dimensions/weight,barcode/EAN,minifigs,LEGOCom/UK/retailPrice,LEGOCom/UK/dateFirstAvailable,LEGOCom/DE/retailPrice,LEGOCom/DE/dateFirstAvailable,barcode/UPC,LEGOCom/US/dateLastAvailable,LEGOCom/CA/dateLastAvailable,LEGOCom/UK/dateLastAvailable,LEGOCom/DE/dateLastAvailable,ageRange/max
29398,76143,1,Avengers Truck Take-down,2020,Marvel Super Heroes,Licensed,Avengers,Normal,TRUE,https://images.brickset.com/sets/small/76143-1.jpg,https://images.brickset.com/sets/images/76143-1.jpg,https://brickset.com/sets/76143-1,1589,872,39.99,2020-01-02T00:00:00Z,49.99,2020-01-02T00:00:00Z,3.6,2,Box,Retail,4,5,2019-12-31T17:30:10.45Z,477,7,26.2,28.2,7.6,0.57,5702016618051,4,34.99,2020-01-01T00:00:00Z,39.99,2020-01-03T00:00:00Z,673419320351,,,2021-05-09T00:00:00Z,2021-05-10T00:00:00Z,
30234,76152,1,Avengers Wrath of Loki,2020,Marvel Super Heroes,Licensed,Avengers,Normal,TRUE,https://images.brickset.com/sets/small/76152-1.jpg,https://images.brickset.com/sets/images/76152-1.jpg,https://brickset.com/sets/76152-1,667,779,59.99,2020-07-03T00:00:00Z,79.99,2020-07-01T00:00:00Z,0,0,Box,Retail,6,0,2020-06-04T09:59:56.87Z,223,4,26.2,38.2,5.7,0.7,5702016619331,5,54.99,2020-06-01T00:00:00Z,59.99,2020-06-02T00:00:00Z,673419320436,,,,,
30370,912060,1,A-wing,2020,Star Wars,Licensed,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/912060-1.jpg,https://images.brickset.com/sets/images/912060-1.jpg,https://brickset.com/sets/912060-1,633,337,,,,,3.7,1,Foil pack,Retail - limited,0,0,2020-05-23T21:13:01.517Z,44,6,,,,,,,,,,,,,,,,
30201,75275,1,A-wing Starfighter,2020,Star Wars,Licensed,Ultimate Collector Series,Normal,TRUE,https://images.brickset.com/sets/small/75275-1.jpg,https://images.brickset.com/sets/images/75275-1.jpg,https://brickset.com/sets/75275-1,5347,2971,199.99,2020-05-02T00:00:00Z,259.99,2020-05-02T00:00:00Z,4.4,2,Box,Retail,7,35,2020-04-30T19:40:05.437Z,1673,18,37.8,58.2,8.7,,5702016663488,1,179.99,2020-05-02T00:00:00Z,199.99,2020-05-02T00:00:00Z,,,,,,
30950,122010,1,Baby Dino Transport,2020,Jurassic World,Licensed,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/122010-1.jpg,https://images.brickset.com/sets/images/122010-1.jpg,https://brickset.com/sets/122010-1,405,184,,,,,0,1,Foil pack,Retail - limited,0,0,2021-01-01T18:49:22.897Z,26,7,,,,,,,,,,,,,,,,
30241,41421,1,Baby Elephant Jungle Rescue,2020,Friends,Girls,Jungle Rescue,Normal,TRUE,https://images.brickset.com/sets/small/41421-1.jpg,https://images.brickset.com/sets/images/41421-1.jpg,https://brickset.com/sets/41421-1,747,315,19.99,2020-07-03T00:00:00Z,24.99,2020-07-01T00:00:00Z,0,0,Box,Retail,2,11,2020-08-26T10:36:17.497Z,203,6,19.1,26.2,6.1,0.34,5702016619065,2,17.99,2020-06-01T00:00:00Z,19.99,2020-06-02T00:00:00Z,673419320047,,,,,
29762,10928,1,Bakery,2020,Duplo,Pre-school,,Normal,TRUE,https://images.brickset.com/sets/small/10928-1.jpg,https://images.brickset.com/sets/images/10928-1.jpg,https://brickset.com/sets/10928-1,98,63,34.99,2020-01-02T00:00:00Z,49.99,2020-01-02T00:00:00Z,0,0,Box,Retail,2,4,2019-12-31T17:20:54.587Z,46,2,26.2,38.2,9.4,0.82,5702016618174,2,34.99,2020-01-01T00:00:00Z,39.99,2020-01-03T00:00:00Z,673419318945,,,,,
29699,41393,1,Baking Competition,2020,Friends,Girls,,Normal,TRUE,https://images.brickset.com/sets/small/41393-1.jpg,https://images.brickset.com/sets/images/41393-1.jpg,https://brickset.com/sets/41393-1,581,303,39.99,2020-01-02T00:00:00Z,49.99,2020-01-02T00:00:00Z,0,1,Box,Retail,2,4,2019-12-25T17:26:55.757Z,361,6,26.2,38.2,7.1,0.63,5702016618808,3,34.99,2019-12-26T00:00:00Z,39.99,2019-12-26T00:00:00Z,673419319782,,,,,
30237,76158,1,Batboat The Penguin Pursuit!,2020,DC Comics Super Heroes,Licensed,Batman,Normal,TRUE,https://images.brickset.com/sets/small/76158-1.jpg,https://images.brickset.com/sets/images/76158-1.jpg,https://brickset.com/sets/76158-1,1386,463,9.99,2020-08-24T00:00:00Z,13.99,2020-08-24T00:00:00Z,3.7,1,Box,Retail,2,11,2020-05-22T00:45:39.72Z,54,4,14.1,19.1,4.6,0.16,5702016619379,2,8.99,2020-06-01T00:00:00Z,9.99,2020-06-02T00:00:00Z,673419320481,,,,,
30351,10919,1,Batcave,2020,Duplo,Pre-school,,Normal,TRUE,https://images.brickset.com/sets/small/10919-1.jpg,https://images.brickset.com/sets/images/10919-1.jpg,https://brickset.com/sets/10919-1,192,79,29.99,2020-08-24T00:00:00Z,39.99,2020-08-24T00:00:00Z,0,0,Box,Retail,2,10,2020-05-31T21:10:31.62Z,33,2,19.1,35.4,7,0.5,5702016618099,3,29.99,2020-06-01T00:00:00Z,34.99,2020-06-02T00:00:00Z,673419318860,,,2021-01-20T00:00:00Z,2021-01-21T00:00:00Z,
30342,40386,1,Batman,2020,Brick Sketches,Licensed,DC Comics Super Heroes,Normal,TRUE,https://images.brickset.com/sets/small/40386-1.jpg,https://images.brickset.com/sets/images/40386-1.jpg,https://brickset.com/sets/40386-1,932,543,16.99,2020-07-16T00:00:00Z,19.99,2020-07-16T00:00:00Z,4,1,Box,LEGO exclusive,7,4,2020-07-24T05:54:15.083Z,115,8,19.1,14.1,7.1,,5702016656770,,14.99,2020-07-16T00:00:00Z,19.99,2020-07-16T00:00:00Z,,,,,,
29839,71026,10,Batman,2020,Collectable Minifigures,Miscellaneous,DC Super Heroes,Normal,TRUE,https://images.brickset.com/sets/small/71026-10.jpg,https://images.brickset.com/sets/images/71026-10.jpg,https://brickset.com/sets/71026-10,3724,802,4.99,,,,4.2,2,Foil pack,Retail,0,0,2020-09-22T08:57:11.4Z,10,5,15,9.5,0.7,0.01,,1,,,,,673419319362,,,,,
30032,212008,1,Batman,2020,DC Comics Super Heroes,Licensed,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/212008-1.jpg,https://images.brickset.com/sets/images/212008-1.jpg,https://brickset.com/sets/212008-1,495,231,,,,,0,0,Foil pack,Retail - limited,0,0,2020-03-21T15:09:54.277Z,8,,,,,,,1,,,,,,,,,,
